,tag
0,해외 팝송 해외 팝 초가을 선선한 산책 여행 저녁산책 노을 가을밤 
1,해외 알앤비 소울풀한 빈티지 그루브한 저녁 
2,해외 로파이 그루브한 와인 Chillax 힐링 힙스터 저녁 나른해지는 여유로운 주말 휴일 Lo-Fi 
3,해외 팝송 해외 팝 그루브한 술 혼술혼밥 밤 새벽 분위기있는 별밤 
4,국내 가요 발라드 국내 발라드 발라드한 가을 밤 새벽 가을밤 
5,국내 가요 신나는 8090세대 Y세대 
6,국내외 우울할때 감성적인 
7,국내외 몽환적인 밤 새벽 방안에서 
8,국내 국내 인디 인디 오후 카페 감성적인 지하철 버스 말랑말랑한 
9,국내외 이별 슬픔 
10,해외 월드뮤직 도시 지역 남미 쿠바 라틴 라틴재즈 중남미 이국적인 
11,국내 인디 국내 인디 하교 퇴근길 저녁 카페 출근 퇴근길 지하철 버스 직장인 
12,국내 가요 발라드한 가을 초가을 쌀쌀한 날 
13,해외 팝송 해외 팝 늦여름 초가을 그루브한 선선한 
14,국내외 시크한 MBTI 이색테마 
15,국내외 주호민 유튜브 라디오 트위치 스트리머 
16,해외 팝송 해외 팝 퇴폐적인 밤 새벽 몽환적인 나른해지는 새벽감성 
17,국내 인디 국내 인디 카페 늦여름 선선한 시티팝 저녁산책 
18,국내외 감성적인 가을 
19,해외 힙합 해외 랩 힙합 그루브한 트렌디한 술집 펍 
20,국내 인디 국내 인디 늦여름 
21,해외 알앤비 작업실 그루브한 힙스터 밤 새벽 
22,해외 팝송 해외 팝 혼술혼밥 
23,국내 가요 도입부 인트로 
24,해외 팝송 해외 팝 초가을 선선한 산책 여행 저녁산책 노을 가을밤 
25,해외 알앤비 소울풀한 빈티지 그루브한 저녁 
26,해외 로파이 그루브한 와인 Chillax 힐링 힙스터 저녁 나른해지는 여유로운 주말 휴일 Lo-Fi 
27,해외 팝송 해외 팝 그루브한 술 혼술혼밥 밤 새벽 분위기있는 별밤 
28,국내 가요 발라드 국내 발라드 발라드한 가을 밤 새벽 가을밤 
29,국내 가요 신나는 8090세대 Y세대 
30,국내외 우울할때 감성적인 
31,국내외 몽환적인 밤 새벽 방안에서 
32,국내 국내 인디 인디 오후 카페 감성적인 지하철 버스 말랑말랑한 
33,국내외 이별 슬픔 
